,Image,Base Generation,Fine-tuned Generation
10,0f8b4f9d-a80c-49be-9729-49c4831a1ce6.jpg,"{
  ""category_name"": ""Floral Arrangement"",
  ""description"": ""A large, rectangular floral arrangement made of red and pink flowers, including roses and carnations, with green leaves. The arrangement is designed to frame a sign with text. The flowers are densely packed, covering the entire frame. The arrangement is approximately 8 feet wide and 6 feet tall. The flowers are fresh and vibrant, with no signs of wilting or decay. The green leaves are lush and provide a natural contrast to the red and pink flowers. The floral arrangement is set against a dark background, which makes the colors of the flowers stand out prominently.""
}<|im_end|>","{'category_name': 'Entrance Arch', 'description': ""Entrance Arch Size- 8' x 8' (w x h)\nFlower ratio - 50% Ar/N\nIncluded- 1 Arch with Floral Decor\nExcluded- All other Furniture, Props & Accessories\n*Please Note- Prices are subject to size, flower, fabric, and accessories used.""}<|im_end|>"
11,1e2bad7c-187b-4471-996d-db69427cbf5f.png,"{
  ""category_name"": ""Floral Archway"",
  ""description"": ""A decorative archway made of yellow marigold garlands, measuring approximately 10 feet in width and 8 feet in height. The archway includes 6 hanging lanterns made of yellow fabric, each with a white tassel. The archway is supported by white poles and is set against a backdrop of green foliage. The archway is complete with a small flower arrangement at the base.""
}<|im_end|>","{'category_name': 'Entrance Arch Decor', 'description': ""Entrance Arch Size- 8' x 8' (w x h)\nFlower ratio - 100% Real\nIncluded- 10 Lanterns\nExcluded- All other Furniture, Props & Accessories\n*Please Note- Prices are subject to size, flower, fabric, and accessories used.""}<|im_end|>"
12,fe6eab39-19d5-49cb-ae95-e905a47c4cd4.jpg,"{
  ""category_name"": ""Floral Arrangement"",
  ""description"": ""A series of flower bouquets held by individuals. Each bouquet consists of white and pink flowers, including roses and other varieties. The bouquets are held by individuals wearing light-colored dresses. The flowers are arranged in a loose, natural style, and the bouquets are of similar size and design. The individuals holding the bouquets are not included in the description.""
}<|im_end|>","{'category_name': 'Bridal Bouquet', 'description': 'No description available'}<|im_end|>"
13,01a96484-65ff-439c-b7cf-8c39540664f3.jpg,"{
  ""category_name"": ""Floral Arrangement"",
  ""description"": ""A small, round floral arrangement made of pink and white roses, placed on top of a wooden easel. The arrangement is approximately 10 inches in diameter and is made of fresh flowers. The easel is wooden and stands on a stone floor. The floral arrangement is the only decorative item visible in the image.""
}<|im_end|>","{'category_name': 'Entrance Arch Decor', 'description': 'No description available'}<|im_end|>"
14,0f0b2832-8697-4812-9ad4-c94a39c9a717.png,"{
  ""category_name"": ""Wedding Arch"",
  ""description"": ""A large, elegant wedding arch adorned with pink and white roses, greenery, and draped in soft pink fabric. The arch is set against a scenic backdrop of a body of water and greenery. The arch is approximately 10 feet tall and 8 feet wide. The fabric is made of a lightweight, semi-transparent material. The arch is complete with a floral arrangement on each side and a central floral piece at the top. The arch is set on a stone platform with a view of the water and boats in the distance.""
}<|im_end|>","{'category_name': 'Archway/Entrance Decor', 'description': 'Flower ratio - 50% Arches\nIncluded - 1 Arch\nExcluded - All other Furniture, Props & Accessories\n*Please Note- Prices are subject to size, flower, fabric, and accessories used.'}<|im_end|>"
15,0ce90e4d-69fa-4840-beb7-9fce99c7a8a9.png,"{
  ""category_name"": ""Mantap"",
  ""description"": ""A traditional Indian wedding stage decorated with yellow and white floral garlands hanging from the top. The stage features a white and yellow curtain backdrop, yellow cushions on the seating area, and a yellow tablecloth. The floor has a yellow patterned carpet. The stage is set outdoors with trees in the background.""
}<|im_end|>","{'category_name': 'Backdrop', 'description': 'No description available'}<|im_end|>"
16,1f15d9da-b800-40ff-8fcb-a7387b5f1d8a.jpg,"{
  ""category_name"": ""Decorative Arch"",
  ""description"": ""A large, ornate archway made of wooden pillars wrapped with orange and yellow floral garlands. The arch is adorned with hanging flower arrangements and has a platform at the base. The arch spans the width of the room and is supported by four pillars. The floral garlands are approximately 10 feet long and are made of fresh flowers. The arch is set against a wooden ceiling and a red wall. The platform at the base of the arch is not included in the description.""
}<|im_end|>","{'category_name': 'Entrance Arch Decor', 'description': ""Entrance Arch Size- 8' x 8' (w x h)\nFlower ratio - 50% Ar/N\nIncluded- 2 Standees\nExcluded- All other Furniture, Props & Accessories\n*Please Note- Prices are subject to size, flower, fabric, and accessories used.""}<|im_end|>"
17,0c86f243-4a83-468d-87d5-db2b06f97fae.png,"{
  ""category_name"": ""Decorative Curtains"",
  ""description"": ""The curtains are white with blue and gold accents. They are hung in a wave pattern and cover the entire wall. The curtains are made of a lightweight, possibly polyester material. There are no visible platform or stage elements included in the curtains."",
  ""count"": ""1 set""
}<|im_end|>","{'category_name': 'Backdrop', 'description': 'No description available'}<|im_end|>"
18,1b5f7737-928d-42c6-91ea-93ba50f9e08f.jpg,"{
  ""category_name"": ""Floral Arrangement"",
  ""description"": ""A large, round floral arrangement with a variety of pink and purple flowers, including roses and chrysanthemums, placed in a gold birdcage. The arrangement is set on a red surface, and the birdcage is adorned with small white flowers and greenery. The birdcage is approximately 12 inches in diameter and made of metal. The floral arrangement is approximately 18 inches in height.""
}<|im_end|>","{'category_name': 'Entrance Arch Decor', 'description': ""Entrance Arch Size- 8' x 8' (w x h)\nFlower ratio - 50% Ar/N\nIncluded- 1 Standee\nExcluded- All other Furniture, Props & Accessories\n*Please Note- Prices are subject to size, flower, fabric, and accessories used.""}<|im_end|>"
19,0a20532e-151b-406b-835e-be5c3ff08720.png,"{
  ""category_name"": ""Pathway Decor"",
  ""description"": ""The pathway is decorated with white, wavy, metal structures on both sides. There are three structures on each side, creating a symmetrical design. The pathway itself is made of a combination of tiles and wooden planks, with a checkered pattern. The metal structures are illuminated, adding a glowing effect to the pathway. The pathway leads to a red and white archway at the end, which is not included in the decoration.""
}<|im_end|>","{'category_name': 'Entrance Arch Decor', 'description': ""Entrance Arch Size- 8' x 8' (w x h)\nFlower ratio - 50% Ar/N\nIncluded- 10 Lanterns\nExcluded- All other Furniture, Props & Accessories\n*Please Note- Prices are subject to size, flower, fabric, and accessories used.""}<|im_end|>"
20,1d7784c8-e209-4138-9fc1-c9e5a4cdd9e5.jpg,"{
  ""category_name"": ""Mantap"",
  ""description"": ""A large, rectangular structure made of golden fabric, adorned with white and orange flowers. The mantap is supported by four golden pillars and has a platform at the front. The structure is illuminated with lights. The dimensions are approximately 10 meters in length and 5 meters in width. The platform is not included in the mantap.""
}<|im_end|>","{'category_name': 'Entrance Arch', 'description': ""Entrance Arch Size- 8' x 8' (w x h)\nFlower ratio - 50% Ar/N\nIncluded- 2 Standees\nExcluded- All other Furniture, Props & Accessories\n*Please Note- Prices are subject to size, flower, fabric, and accessories used.""}<|im_end|>"
21,0a8563ba-4026-4220-9a8d-1ba54219b32d.png,"{
  ""category_name"": ""Mantap"",
  ""description"": ""A decorative wall with a green, leafy backdrop. The wall features a large floral arrangement in the center, surrounded by hanging garlands of orange and yellow flowers. Small bells are attached to the garlands, adding a touch of elegance. The wall is approximately 8 feet tall and 8 feet wide. The floral arrangement is made of artificial flowers and leaves, and the garlands are made of real flowers. The bells are made of metal. The wall is set against a wooden floor and a white wall in the background.""
}<|im_end|>","{'category_name': 'Entrance Decor', 'description': 'Entrance Decor'}<|im_end|>"
22,0af16d30-4abe-45d7-b9f8-eaca72be3bc8.jpg,"{
  ""category_name"": ""Floral Arrangement"",
  ""description"": ""A variety of colorful flowers arranged in baskets and bowls. Includes marigolds, roses, and other flowers in shades of orange, pink, and white. The arrangement is placed on a grassy surface with a wooden stool and a platform (not included).""
}<|im_end|>","{'category_name': 'Entrance Arch Decor', 'description': 'No description available'}<|im_end|>"
23,0ef5fb84-2a0d-4d23-9d8d-e6ad0f18ac9b.webp,"{
  ""category_name"": ""Floral Decoration"",
  ""description"": ""A long, white flower garland with small, delicate petals. The garland is approximately 1 meter in length and is made of fresh flowers. It is designed for hanging or draping purposes, suitable for events such as weddings, parties, or religious ceremonies. The garland does not include any additional decorative elements such as ribbons or bows.""
}<|im_end|>","{'category_name': 'Hanging Decor', 'description': 'Price per set of 2\nFlower ratio - 100% Real\nIncluded - 2 Hanging Decor with Flowers (6H inches each)\nExcluded- All other Props & Accessories\n*Please Note- Prices are subject to size, quantity, flower, fabric, and accessories used.'}<|im_end|>"
24,f4735d6a-1804-43a3-b6bc-14564dddd45a.jpg,"{
  ""category_name"": ""Floral Decor"",
  ""description"": ""The floral decor consists of tall, yellow marigold garlands arranged in a line. Each garland is approximately 6 feet tall and is made of fresh marigold flowers. The garlands are tied together at the top with a metallic, spherical ornament. The base of each garland is a small, round platform made of marigold flowers. The decor is set against a backdrop of green foliage and colorful fabric drapes.""
}<|im_end|>","{'category_name': 'Entrance Decor', 'description': 'Entrance Decor'}<|im_end|>"
25,fab5735c-5b15-4b2a-adbe-11cb8ce5e797.png,"{
  ""category_name"": ""Decorative Theme"",
  ""description"": ""The image showcases a wedding or event decor with a focus on floral arrangements, lighting, and a backdrop. The decor includes multiple arches with white flowers, greenery, and string lights. There are also purple curtains on either side of the arches. The couple is standing in front of the arches, indicating the central focus of the decor. The lighting is warm and ambient, creating a cozy and festive atmosphere. The decor is detailed and elegant, suitable for a formal event.""
}<|im_end|>","{'category_name': 'Entrance Arch Decor', 'description': 'No description available'}<|im_end|>"
26,fc75edb4-bddb-4696-9e51-36b4f86b0f26.png,"{
  ""category_name"": ""Archway"",
  ""description"": ""A circular archway decorated with pink flowers and string lights. The archway is supported by two metal stands. The flowers are arranged in a cascading manner, covering the entire front of the arch. The string lights are wrapped around the arch, providing a warm glow. The archway is approximately 8 feet in diameter.""
}<|im_end|>","{'category_name': 'Archway/Entrance Decor', 'description': 'Flower ratio - 100% Real\nIncluded - 1 Archway with Floral Decor\nExcluded - All other Furniture, Props & Accessories\n*Please Note- Prices are subject to size, flower, fabric, and accessories used.'}<|im_end|>"
27,0e6da63c-0fdb-42a7-83a0-9f9c20fe1a13.jpg,"{
  ""category_name"": ""Mantap"",
  ""description"": ""A traditional Indian wedding swing decorated with intricate wooden carvings and floral garlands. The swing is adorned with orange and pink flowers, green leaves, and golden strings. The swing is placed on a wooden platform with a white cushion. The swing is surrounded by a lush green garden.""
}<|im_end|>","{'category_name': 'Arch Decor', 'description': 'Flower ratio - 100% Real\nIncluded - 2 Floral Strings, 2 Floral Decorations\nExcluded - All other Furniture, Props & Accessories\n*Please Note- Prices are subject to size, flower, fabric, and accessories used.'}<|im_end|>"
28,2b3d3376-3194-4773-b385-cc3473504304.jpg,"{
  ""category_name"": ""Mantap"",
  ""description"": ""A traditional Indian wedding stage setup with intricate white carvings on the pillars and ceiling. The stage is adorned with a red and white floral arrangement, draped red curtains, and a white sofa. There is a red carpet on the floor, and a white platform is visible in the background. The stage is illuminated with blue and red lights.""
}<|im_end|>","{'category_name': 'Mantap', 'description': ""Mandap Size- 12' x 10' x 12' (w x h x l)\nFlower ratio - 50% Ar/N\nIncluded - 2 Sofa Seating\nExcluded - Platform, Lights, Furniture, and all other Props & Accessories\n*Please Note - Prices are subject to size, flower, fabric, and accessories used.""}<|im_end|>"
29,1bf465bf-37b1-42db-acd5-568888afaf55.jpg,"{
  ""category_name"": ""Mantap"",
  ""description"": ""A traditional Indian structure decorated with green leaves, pink and white flower garlands, and golden balloons. The structure is supported by two golden pillars. The roof is made of green leaves and has a platform at the top. The entrance is adorned with a floral arch and a small plaque. The ground is decorated with a white rangoli design.""
}<|im_end|>","{'category_name': 'Entrance Decor', 'description': 'Entrance Decor'}<|im_end|>"
30,fbfd3f8d-6de2-42e2-962a-29215b84f4a6.png,"{
  ""category_name"": ""Lighting"",
  ""description"": ""Multiple lanterns (6) with candles inside, placed around a pool. The lanterns are made of metal and glass, and the candles are lit, creating a warm and inviting atmosphere. The pool is filled with floating flower petals, adding a romantic touch to the setting. The lighting is provided by string lights hanging from above, creating a festive and cozy ambiance.""
}<|im_end|>","{'category_name': 'Pathway Decor', 'description': 'No description available'}<|im_end|>"
31,2d54f6fb-a754-432b-84b7-df3ae68d639a.jpg,"{
  ""category_name"": ""Floral Arrangement"",
  ""description"": ""A heart-shaped floral arrangement made of various types of roses and small pink flowers. The arrangement is placed on a wooden surface. The roses are in shades of red, pink, and white, with green leaves. The small pink flowers are scattered throughout the arrangement. The arrangement is not complete and appears to be in the process of being created or assembled.""
}<|im_end|>","{'category_name': 'Mantap', 'description': 'Mandap Size- 12W x 10H x 12L Feet\nFlower ratio - 100% Real\nIncluded - 100% Real Flowers\nExcluded - Platform, Lights, Furniture, and all other Props & Accessories'}<|im_end|>"
32,2d16ff4e-14fd-4b71-9500-45f2c631a0a6.jpg,"{
  ""category_name"": ""Floral Archway"",
  ""description"": ""A large, ornate archway adorned with a variety of flowers and drapery. The archway is approximately 10 feet wide and 8 feet high. It features a mix of pink, white, and green flowers, with long drapes of pink fabric hanging from the top. The archway is supported by wooden pillars on either side. The archway is set against a natural backdrop of trees and foliage.""
}<|im_end|>","{'category_name': 'Entrance Arch Decor', 'description': ""Entrance Arch Size- 8' x 8' (w x h)\nFlower ratio - 50% Ar/N\nIncluded- 2 Standees\nExcluded- All other Furniture, Props & Accessories\n*Please Note- Prices are subject to size, flower, fabric, and accessories used.""}<|im_end|>"
33,ffd5998c-3400-4b32-b69c-97abc0a585bd.jpg,"{
  ""category_name"": ""Mantap"",
  ""description"": ""A large, pink tent-like structure with a high ceiling, adorned with hanging tassels and decorative elements. The tent is supported by tall poles and has a platform at the front. The tent is set up outdoors with a scenic view of water and trees in the background. The tent is decorated with pink fabric, cushions, and floral arrangements. The tent is spacious and can accommodate a large number of guests."",
  ""items"": {
    ""tents"": 1,
    ""tassels"": 1,
    ""platform"": 1,
    ""cushions"": 1,
    ""flowers"": 1,
    ""fabric"": 1,
    ""poles"": 4
  }
}<|im_end|>","{'category_name': 'Mantap', 'description': ""Mandap Size- 12' x 12' (d x h)\nIncluded- 100% Real Flowers\nExcluded- All other Furniture, Props & Accessories\n*Please Note- Prices are subject to size, flower, fabric, and accessories used.""}<|im_end|>"
34,fc058173-2ef2-43d6-9906-2adc34b4b8cd.jpg,"{
  ""category_name"": ""Wedding Arch"",
  ""description"": ""A wedding arch decorated with white and green floral arrangements, white fabric draping, and white picket fence. The arch is supported by four white pillars. The floral arrangements include white roses and green foliage. The arch is set against a backdrop of trees and a white building. The arch is placed on a grassy area with a white picket fence in the foreground.""
}<|im_end|>","{'category_name': 'Archway', 'description': 'Flower arch with white drapes'}<|im_end|>"
35,f8861a2b-f962-44ea-a1d6-e1a10f2aefd8.jpg,"{
  ""category_name"": ""Floral Archway"",
  ""description"": ""A large, decorative archway made of artificial pink and white flowers. The archway is supported by two sturdy metal frames. The flowers are arranged in a natural, cascading manner, creating a lush and inviting entrance. The archway is illuminated by string lights, adding a warm glow to the scene. The archway is approximately 10 feet wide and 8 feet tall. It is placed outdoors, with a paved area and parked motorcycles visible in the background.""
}<|im_end|>","{'category_name': 'Entrance Arch Decor', 'description': ""Entrance Arch Size- 8' x 8' (w x h)\nFlower ratio - 50% Ar/N\nIncluded- 2 Standees\nExcluded- All other Furniture, Props & Accessories\n*Please Note- Prices are subject to size, flower, fabric, and accessories used.""}<|im_end|>"
36,0a17d697-7aa8-45a5-944e-c61f460d9005.jpg,"{
  ""category_name"": ""Floral Arrangement"",
  ""description"": ""Two tall, gold metal stands with square bases, each holding a floral arrangement. The larger stand has a taller arrangement with white, red, and green flowers, while the smaller stand has a shorter arrangement with white, red, and green flowers. Both arrangements include greenery and are placed against a white, light-dotted backdrop.""
}<|im_end|>","{'category_name': 'Accent Decor', 'description': 'Flower Arrangement'}<|im_end|>"
37,2a41321e-ccb7-475f-8421-255ab92ff802.jpg,"{
  ""category_name"": ""Mantap"",
  ""description"": ""A festive and colorful decorative structure made of hanging colorful paper fans. The structure is supported by two tall poles and is adorned with a floral arch at the top. The mantap is placed outdoors with a white bench in front, decorated with pink and white polka dot pillows. The mantap is surrounded by greenery and palm trees in the background. The mantap is made of paper fans in various colors such as pink, purple, blue, green, and red. The size of the mantap is not specified, but it appears to be large enough to accommodate a seating area. The floral arch at the top is made of white and pink flowers. The bench in front of the mantap is white with a pink and white polka dot cushion. The mantap is placed on a paved area with a blue and pink crate on either side. The crate is made of wood and has a striped pattern. The crate is not included in the mantap. The background includes green hedges and palm trees, providing a natural and festive setting.""
}<|im_end|>","{'category_name': 'Seating Decor', 'description': 'No description available'}<|im_end|>"
38,0e885fe2-996c-4597-8675-f8473f3ed15a.jpg,"{
  ""category_name"": ""Mantap"",
  ""description"": ""A large, circular golden platform with a scalloped edge, placed on a marble floor. The platform is adorned with a golden floral arrangement and two small golden tables. The background features a large circular arch decorated with yellow and white flowers and hanging yellow triangular decorations. The arch is supported by two golden pillars with floral arrangements at the base. The entire setup is set against a backdrop of greenery and trees.""
}<|im_end|>","{'category_name': 'Entrance Arch Decor', 'description': ""Entrance Arch Size- 8' x 8' (w x h)\nFlower ratio - 50% Ar/N\nIncluded- 2 Standees\nExcluded- All other Furniture, Props & Accessories\n*Please Note- Prices are subject to size, flower, fabric, and accessories used.""}<|im_end|>"
39,fab28090-d916-402e-bf09-aeaa616b1695.png,"{
  ""category_name"": ""Pathway Decoration"",
  ""description"": ""The pathway is decorated with a series of orange and pink flower petals arranged in a wave pattern. The petals are placed on both sides of the pathway, creating a vibrant and festive atmosphere. The pathway itself is made of dark stone tiles, and the surrounding area is lined with green plants and small water bodies. The decoration is simple yet effective, using natural materials to enhance the beauty of the pathway.""
}<|im_end|>","{'category_name': 'Pathway Decor', 'description': 'No description available'}<|im_end|>"
40,1db470a4-d2dd-41a7-a596-455d04adf9e2.png,"{
  ""category_name"": ""Floral Archway"",
  ""description"": ""A large, colorful floral archway made of orange, yellow, and white marigold garlands. The archway is supported by two yellow pillars at the base. The archway is approximately 10 feet high and 15 feet wide. The garlands are made of fresh marigold flowers and are arranged in a cascading manner. The archway is set up outdoors in a garden area.""
}<|im_end|>","{'category_name': 'Entrance Arch Decor', 'description': ""Entrance Arch Size- 8' x 8' (w x h)\nFlower ratio - 50% Ar/N\nIncluded- 2 Standees\nExcluded- All other Furniture, Props & Accessories\n*Please Note- Prices are subject to size, flower, fabric, and accessories used.""}<|im_end|>"
41,f8161197-9d1a-4a1e-ab80-5d9d4b3d62a3.jpg,"{
  ""category_name"": ""Mantap"",
  ""description"": ""A circular floral arrangement with a diameter of approximately 3 feet, made of white flowers and greenery. The arrangement is elevated on a platform, which is not included in the description. The floral arrangement is surrounded by three spherical lighted decorations, each with a diameter of about 2 feet. The lighting is provided by small, fairy-like lights that create a warm, inviting atmosphere. The overall setup is placed outdoors, surrounded by lush greenery and palm trees.""
}<|im_end|>","{'category_name': 'Entrance Arch', 'description': 'No description available'}<|im_end|>"
42,ff84efe3-5262-4e4a-ae65-32db3d5e51db.jpg,"{
  ""category_name"": ""Lighted Sphere"",
  ""description"": ""A large, spherical decorative item made of metal wire with numerous small lights embedded within. The sphere is approximately 3 feet in diameter. The lights are warm yellow and create a glowing effect. The sphere is placed on a paved surface and is surrounded by greenery and other lighted decorations.""
}<|im_end|>","{'category_name': 'Entrance Decor', 'description': 'Entrance Decor'}<|im_end|>"
43,1a898780-0d0f-4392-9e22-d63148fa03a9.jpg,"{
  ""category_name"": ""Signage"",
  ""description"": ""A wooden easel sign with a dark background and white text. The sign reads 'Welcome To Mallika & Aakash’s Beautiful Beginning'. The sign is decorated with a large yellow circular element at the bottom, adorned with small golden balls and yellow fabric pieces. The sign is supported by a wooden easel frame.""
}<|im_end|>","{'category_name': 'Entrance Arch Decor', 'description': ""Entrance Arch Size- 8' x 8' (w x h)\nFlower ratio - 50% Ar/N\nIncluded- 2 Lotus Standees\nExcluded- All other Furniture, Props & Accessories\n*Please Note- Prices are subject to size, flower, fabric, and accessories used.""}<|im_end|>"
44,f740447b-2e05-4861-87f3-f67c7fa01336.jpg,"{
  ""category_name"": ""Floral Arrangement"",
  ""description"": ""A large, elegant floral arrangement featuring white roses and greenery, placed on a stand. The arrangement spans across the width of the image, with the flowers covering the bottom half. The flowers are fresh and well-maintained, with a total of 12 white roses visible. The greenery includes various types of leaves and ferns, adding texture and depth to the arrangement. The stand is black and metal, supporting the arrangement from below.""
}<|im_end|>","{'category_name': 'Entrance Decor', 'description': 'Entrance Decor'}<|im_end|>"
45,f54875df-beca-443a-8982-2daaa0d2630f.jpg,"{
  ""category_name"": ""Mantap"",
  ""description"": ""A traditional Indian wedding stage decorated with a vibrant pink canopy, golden pillars with intricate carvings, and a floral backdrop. The stage features a white platform with a floral arrangement in the center, surrounded by red and white chairs. The canopy is supported by four golden pillars, and the stage is adorned with colorful flowers in shades of orange and yellow. The floral arrangement includes a large 'VS' sign made of flowers, and the stage is set against a backdrop of greenery and a stone wall.""
}<|im_end|>","{'category_name': 'Mantap', 'description': ""Mandap Size- 12' x 12' (w x h)\nFlower ratio - 50% Ar/N\nIncluded - 2 Pillar, 4 Standees, 4 Mats, 4 Flower Vases\nExcluded - All other Furniture, Props & Accessories\n*Please Note- Prices are subject to size, flower, fabric, and accessories used.""}<|im_end|>"
46,fd29a3ad-e4d7-4eeb-a54c-33a963639b90.jpg,"{
  ""category_name"": ""Decorative Curtains"",
  ""description"": ""White sheer curtains with floral decorations (orange and green flowers) hanging from black poles. Each curtain is 10 feet long and 5 feet wide. The floral decorations are evenly spaced along the length of the curtains. The curtains are complemented by small candles placed at the base of each pole.""
}<|im_end|>","{'category_name': 'Backdrop & Drapes', 'description': 'No description available'}<|im_end|>"
47,ffcec9ab-70fe-4bcf-8716-68ea8984c6ec.jpg,"{
  ""category_name"": ""Floral Arrangement"",
  ""description"": ""Large, cascading floral arrangements made of pink and white roses and green foliage, mounted on metal stands. Each arrangement is approximately 8 feet tall and 4 feet wide. The flowers are fresh and arranged in a natural, flowing style. The metal stands are tall and slender, with a shiny, metallic finish."",
  ""item_count"": ""4"",
  ""notes"": ""The floral arrangements are the centerpiece of the decor, and they are accompanied by candle holders on either side.""
}<|im_end|>","{'category_name': 'Entrance Arch Decor', 'description': 'No description available'}<|im_end|>"
